0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:37:54 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:43:37 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:49:58 -0800] "GET /Flour/login_01.jpg HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 2036
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/login_01.jpg HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:25 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:50:39 -0800] "GET /Flour/images/login_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:57:01 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:57:01 -0800] "GET /Flour/css/bg.css HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:57:01 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:57:01 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:57:01 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
